no_nodes= 933, no_zones = 387, FirstThruNode (seq No) = 388, number_of_links = 2950
read demand file demand.csv
 mode type = auto, total_volume = 1260907.440001
iter No = 0, sys. TT =  112243061.206373, least TT =  16049642.657063, gap = 599.349285 %
iter No = 1, Lambda = 0.468750, g_System_VMT = 12388838.588146, sys. TT =  24787841.988123, least TT =  18795632.969353, gap = 31.880858 % 
iter No = 17, Lambda = 0.156250, g_System_VMT = 12170402.497828, sys. TT =  18394367.488085, least TT =  18362477.719361, gap = 0.173668 % 
iter No = 18, Lambda = 0.093750, g_System_VMT = 12168305.807633, sys. TT =  18391682.420865, least TT =  18355116.435206, gap = 0.199214 % 
iter No = 19, Lambda = 0.125000, g_System_VMT = 12166756.976974, sys. TT =  18388232.513363, least TT =  18363757.724686, gap = 0.133278 % 
iter No = 20, Lambda = 0.093750, g_System_VMT = 12167088.468089, sys. TT =  18391661.488784, least TT =  18358751.132316, gap = 0.179263 % 
iter No = 21, Lambda = 0.093750, g_System_VMT = 12165049.487787, sys. TT =  18387498.996011, least TT =  18367817.772450, gap = 0.107151 % 
iter No = 22, Lambda = 0.125000, g_System_VMT = 12164503.391534, sys. TT =  18388531.474903, least TT =  18364660.947412, gap = 0.129981 % 
iter No = 23, Lambda = 0.062500, g_System_VMT = 12162026.645306, sys. TT =  18385411.196044, least TT =  18365811.999421, gap = 0.106716 % 
iter No = 24, Lambda = 0.093750, g_System_VMT = 12162847.273519, sys. TT =  18383657.548791, least TT =  18367618.598671, gap = 0.087322 % 
iter No = 25, Lambda = 0.062500, g_System_VMT = 12162045.430357, sys. TT =  18380639.068053, least TT =  18365057.228190, gap = 0.084845 % 
iter No = 26, Lambda = 0.093750, g_System_VMT = 12161073.245731, sys. TT =  18377761.856168, least TT =  18365779.659815, gap = 0.065242 % 
iter No = 27, Lambda = 0.031250, g_System_VMT = 12161386.738880, sys. TT =  18379308.686956, least TT =  18359532.131702, gap = 0.107718 % 
iter No = 28, Lambda = 0.093750, g_System_VMT = 12161268.489308, sys. TT =  18379305.670659, least TT =  18365645.625285, gap = 0.074378 % 
iter No = 29, Lambda = 0.031250, g_System_VMT = 12160403.063466, sys. TT =  18380339.714157, least TT =  18363294.754237, gap = 0.092821 % 
iter No = 30, Lambda = 0.093750, g_System_VMT = 12160261.590329, sys. TT =  18381946.089732, least TT =  18368366.933150, gap = 0.073927 % 
iter No = 31, Lambda = 0.031250, g_System_VMT = 12160095.077044, sys. TT =  18379982.495445, least TT =  18368754.538301, gap = 0.061125 % 
iter No = 32, Lambda = 0.062500, g_System_VMT = 12159888.443563, sys. TT =  18379580.797673, least TT =  18369745.838509, gap = 0.053539 % 
iter No = 33, Lambda = 0.031250, g_System_VMT = 12159697.433805, sys. TT =  18378750.519502, least TT =  18368109.340187, gap = 0.057933 % 
iter No = 34, Lambda = 0.031250, g_System_VMT = 12159607.817610, sys. TT =  18378840.651709, least TT =  18370394.057792, gap = 0.045979 % 
iter No = 35, Lambda = 0.031250, g_System_VMT = 12159380.164729, sys. TT =  18379718.446777, least TT =  18370482.437760, gap = 0.050276 % 
iter No = 36, Lambda = 0.031250, g_System_VMT = 12159090.141674, sys. TT =  18379301.462178, least TT =  18371548.327586, gap = 0.042202 % 
iter No = 37, Lambda = 0.062500, g_System_VMT = 12158822.530144, sys. TT =  18380846.232550, least TT =  18371709.716885, gap = 0.049731 % 
iter No = 38, Lambda = 0.031250, g_System_VMT = 12158757.858908, sys. TT =  18379512.383300, least TT =  18370535.652671, gap = 0.048865 % 
iter No = 39, Lambda = 0.031250, g_System_VMT = 12158903.869727, sys. TT =  18377435.335029, least TT =  18371670.858110, gap = 0.031377 % 
CPU running time: 0 hours 0 minutes 11 seconds 807 ms
